Unnamed: 0,play_name,genre,character,act,scene,sentence,text,sex
7100,The Comedy of Errors,Comedy,Dromio Of Syracuse,4,4,179,"methinks they are such a gentle nation that, but for",male
7101,The Comedy of Errors,Comedy,Dromio Of Syracuse,4,4,180,the mountain of mad flesh that claims marriage of,male
7102,The Comedy of Errors,Comedy,Dromio Of Syracuse,4,4,181,"me, I could find in my heart to stay here still and",male
7103,The Comedy of Errors,Comedy,Dromio Of Syracuse,4,4,182,turn witch.,male
7104,The Comedy of Errors,Comedy,Dromio Of Syracuse,4,4,183,ANTIPHOLUS,male
7105,The Comedy of Errors,Comedy,Of Syracuse,4,4,184,I will not stay to-night for all the town;,male
7106,The Comedy of Errors,Comedy,Of Syracuse,4,4,185,"Therefore away, to get our stuff aboard.",male
7107,The Comedy of Errors,Comedy,Angelo,5,1,1,"I am sorry, sir, that I have hinder'd you;",male
7108,The Comedy of Errors,Comedy,Angelo,5,1,2,"But, I protest, he had the chain of me,",male
7109,The Comedy of Errors,Comedy,Angelo,5,1,3,Though most dishonestly he doth deny it.,male
7110,The Comedy of Errors,Comedy,Second Merchant,5,1,4,How is the man esteemed here in the city?,male
7111,The Comedy of Errors,Comedy,Angelo,5,1,5,"Of very reverend reputation, sir,",male
7112,The Comedy of Errors,Comedy,Angelo,5,1,6,"Of credit infinite, highly beloved,",male
7113,The Comedy of Errors,Comedy,Angelo,5,1,7,Second to none that lives here in the city:,male
7114,The Comedy of Errors,Comedy,Angelo,5,1,8,His word might bear my wealth at any time.,male
7115,The Comedy of Errors,Comedy,Second Merchant,5,1,9,"Speak softly; yonder, as I think, he walks.",male
7116,The Comedy of Errors,Comedy,Angelo,5,1,10,'Tis so; and that self chain about his neck,male
7117,The Comedy of Errors,Comedy,Angelo,5,1,11,Which he forswore most monstrously to have.,male
7118,The Comedy of Errors,Comedy,Angelo,5,1,12,"Good sir, draw near to me, I'll speak to him.",male
7119,The Comedy of Errors,Comedy,Angelo,5,1,13,"Signior Antipholus, I wonder much",male
7120,The Comedy of Errors,Comedy,Angelo,5,1,14,That you would put me to this shame and trouble;,male
7121,The Comedy of Errors,Comedy,Angelo,5,1,15,"And, not without some scandal to yourself,",male
7122,The Comedy of Errors,Comedy,Angelo,5,1,16,With circumstance and oaths so to deny,male
7123,The Comedy of Errors,Comedy,Angelo,5,1,17,This chain which now you wear so openly:,male
7124,The Comedy of Errors,Comedy,Angelo,5,1,18,"Beside the charge, the shame, imprisonment,",male
7125,The Comedy of Errors,Comedy,Angelo,5,1,19,"You have done wrong to this my honest friend,",male
7126,The Comedy of Errors,Comedy,Angelo,5,1,20,"Who, but for staying on our controversy,",male
7127,The Comedy of Errors,Comedy,Angelo,5,1,21,Had hoisted sail and put to sea to-day:,male
7128,The Comedy of Errors,Comedy,Angelo,5,1,22,This chain you had of me; can you deny it?,male
7129,The Comedy of Errors,Comedy,Angelo,5,1,23,ANTIPHOLUS,male
7130,The Comedy of Errors,Comedy,Of Syracuse,5,1,24,I think I had; I never did deny it.,male
7131,The Comedy of Errors,Comedy,Second Merchant,5,1,25,"Yes, that you did, sir, and forswore it too.",male
7132,The Comedy of Errors,Comedy,Second Merchant,5,1,26,ANTIPHOLUS,male
7133,The Comedy of Errors,Comedy,Of Syracuse,5,1,27,Who heard me to deny it or forswear it?,male
7134,The Comedy of Errors,Comedy,Second Merchant,5,1,28,"These ears of mine, thou know'st did hear thee.",male
7135,The Comedy of Errors,Comedy,Second Merchant,5,1,29,"Fie on thee, wretch! 'tis pity that thou livest",male
7136,The Comedy of Errors,Comedy,Second Merchant,5,1,30,To walk where any honest man resort.,male
7137,The Comedy of Errors,Comedy,Second Merchant,5,1,31,ANTIPHOLUS,male
7138,The Comedy of Errors,Comedy,Of Syracuse,5,1,32,Thou art a villain to impeach me thus:,male
7139,The Comedy of Errors,Comedy,Of Syracuse,5,1,33,I'll prove mine honour and mine honesty,male
7140,The Comedy of Errors,Comedy,Of Syracuse,5,1,34,"Against thee presently, if thou darest stand.",male
7141,The Comedy of Errors,Comedy,Second Merchant,5,1,35,"I dare, and do defy thee for a villain.",male
7142,The Comedy of Errors,Comedy,Adriana,5,1,36,"Hold, hurt him not, for God's sake! he is mad.",female
7143,The Comedy of Errors,Comedy,Adriana,5,1,37,"Some get within him, take his sword away:",female
7144,The Comedy of Errors,Comedy,Adriana,5,1,38,"Bind Dromio too, and bear them to my house.",female
7145,The Comedy of Errors,Comedy,Dromio Of Syracuse,5,1,39,"Run, master, run; for God's sake, take a house!",male
7146,The Comedy of Errors,Comedy,Dromio Of Syracuse,5,1,40,"This is some priory. In, or we are spoil'd!",male
7147,The Comedy of Errors,Comedy,Aemelia,5,1,41,"Be quiet, people. Wherefore throng you hither?",female
7148,The Comedy of Errors,Comedy,Adriana,5,1,42,To fetch my poor distracted husband hence.,female
7149,The Comedy of Errors,Comedy,Adriana,5,1,43,"Let us come in, that we may bind him fast",female
7150,The Comedy of Errors,Comedy,Adriana,5,1,44,And bear him home for his recovery.,female
7151,The Comedy of Errors,Comedy,Angelo,5,1,45,I knew he was not in his perfect wits.,male
7152,The Comedy of Errors,Comedy,Second Merchant,5,1,46,I am sorry now that I did draw on him.,male
7153,The Comedy of Errors,Comedy,Aemelia,5,1,47,How long hath this possession held the man?,female
7154,The Comedy of Errors,Comedy,Adriana,5,1,48,"This week he hath been heavy, sour, sad,",female
7155,The Comedy of Errors,Comedy,Adriana,5,1,49,And much different from the man he was;,female
7156,The Comedy of Errors,Comedy,Adriana,5,1,50,But till this afternoon his passion,female
7157,The Comedy of Errors,Comedy,Adriana,5,1,51,Ne'er brake into extremity of rage.,female
7158,The Comedy of Errors,Comedy,Aemelia,5,1,52,Hath he not lost much wealth by wreck of sea?,female
7159,The Comedy of Errors,Comedy,Aemelia,5,1,53,Buried some dear friend? Hath not else his eye,female
7160,The Comedy of Errors,Comedy,Aemelia,5,1,54,Stray'd his affection in unlawful love?,female
7161,The Comedy of Errors,Comedy,Aemelia,5,1,55,"A sin prevailing much in youthful men,",female
7162,The Comedy of Errors,Comedy,Aemelia,5,1,56,Who give their eyes the liberty of gazing.,female
7163,The Comedy of Errors,Comedy,Aemelia,5,1,57,Which of these sorrows is he subject to?,female
7164,The Comedy of Errors,Comedy,Adriana,5,1,58,"To none of these, except it be the last;",female
7165,The Comedy of Errors,Comedy,Adriana,5,1,59,"Namely, some love that drew him oft from home.",female
7166,The Comedy of Errors,Comedy,Aemelia,5,1,60,You should for that have reprehended him.,female
7167,The Comedy of Errors,Comedy,Adriana,5,1,61,"Why, so I did.",female
7168,The Comedy of Errors,Comedy,Aemelia,5,1,62,"Ay, but not rough enough.",female
